year,age,name,movie,gender
1993,37,Tom Hanks,Philadelphia,M
1993,36,Holly Hunter,The Piano,F
1994,38,Tom Hanks,Forrest Gump,M
1994,45,Jessica Lange,Blue Sky,F
1995,32,Nicolas Cage,Leaving Las Vegas,M
1995,49,Susan Sarandon,Dead Man Walking,F
1996,45,Geoffrey Rush,Shine,M
1996,39,Frances McDormand,Fargo,F
1997,34,Helen Hunt,As Good as It Gets,F
1997,60,Jack Nicholson,As Good as It Gets,M
1998,26,Gwyneth Paltrow,Shakespeare in Love,F
1998,46,Roberto Benigni,Life Is Beautiful,M
1999,25,Hilary Swank,Boys Don't Cry,F
1999,40,Kevin Spacey,American Beauty,M
2000,33,Julia Roberts,Erin Brockovich,F
2000,36,Russell Crowe,Gladiator,M
2001,47,Denzel Washington,Training Day,M
2001,35,Halle Berry,Monster's Ball,F
2002,29,Adrien Brody,The Pianist,M
2002,35,Nicole Kidman,The Hours,F
2003,43,Sean Penn,Mystic River,M
2003,28,Charlize Theron,Monster,F
2004,37,Jamie Foxx,Ray,M
2004,30,Hilary Swank,Million Dollar Baby,F
2005,29,Reese Witherspoon,Walk the Line,F
2005,38,Philip Seymour Hoffman,Capote,M
2006,45,Forest Whitaker,The Last King of Scotland,M
2006,61,Helen Mirren,The Queen,F
2007,50,Daniel Day-Lewis,There Will Be Blood,M
2007,32,Marion Cotillard,La Vie en rose,F
2008,48,Sean Penn,Milk,M
2008,33,Kate Winslet,The Reader,F
2009,60,Jeff Bridges,Crazy Heart,M
2009,45,Sandra Bullock,The Blind Side,F
2010,29,Natalie Portman,Black Swan,F
2010,50,Colin Firth,The King's Speech,M
2011,39,Jean Dujardin,The Artist,M
2011,62,Meryl Streep,The Iron Lady,F
2012,22,Jennifer Lawrence,Silver Linings Playbook,F
2012,55,Daniel Day-Lewis,Lincoln,M
2013,44,Matthew McConaughey,Dallas Buyers Club,M
2013,44,Cate Blanchett,Blue Jasmine,F
2014,54,Julianne Moore,Still Alice,F
2014,33,Eddie Redmayne,The Theory of Everything,M
2015,26,Brie Larson,Room,F
2015,41,Leonardo DiCaprio,The Revenant,M
2016,28,Emma Stone,La La Land,F
2016,28,Emma Stone,La La Land,F
2016,41,Casey Affleck,Manchester by the Sea,M
2017,60,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",F
2017,59,Gary Oldman,Darkest Hour,M
2017,60,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",F
2018,44,Olivia Colman,The Favourite,F
2018,37,Rami Malek,Bohemian Rhapsody,M
2018,44,Olivia Colman,The Favourite,F
2019,50,Renée Zellweger,Judy,F
2019,50,Renée Zellweger,Judy,F
2019,45,Joaquin Phoenix,Joker,M
2020,63,Frances McDormand,Nomadland,F
2020,63,Frances McDormand,Nomadland,F
2020,83,Anthony Hopkins,The Father,M
2021,44,Jessica Chastain,The Eyes of Tammy Faye,F
2021,53,Will Smith,King Richard,M
2021,44,Jessica Chastain,The Eyes of Tammy Faye,F
2022,54,Brendan Fraser,The Whale,M
2022,60,Michelle Yeoh,Everything Everywhere All at Once,F
2022,60,Michelle Yeoh,Everything Everywhere All at Once,F
